UTMx512,UTMy361,Z,Longitude,Latitude,Elevation
-6909.865,-6870.170,1174.991,-122.200,45.010,1174.991
-6882.896,-6870.356,1268.436,-122.198,45.010,1268.436
-6855.759,-6870.542,1308.478,-122.196,45.010,1308.478
-6828.789,-6870.728,1266.755,-122.193,45.010,1266.755
-6801.820,-6870.911,1203.239,-122.191,45.010,1203.239
-6774.682,-6871.095,1127.675,-122.189,45.010,1127.675
-6747.544,-6871.279,1074.388,-122.187,45.010,1074.388
-6720.575,-6871.461,1060.748,-122.185,45.010,1060.748
-6693.606,-6871.642,1056.135,-122.182,45.010,1056.135
-6666.468,-6871.823,1050.158,-122.180,45.010,1050.158
-6639.499,-6872.002,1029.548,-122.178,45.010,1029.548
-6612.361,-6872.182,1001.763,-122.176,45.010,1001.763
-6585.391,-6872.360,975.069,-122.174,45.010,975.069
-6558.254,-6872.539,980.551,-122.172,45.010,980.551
-6531.284,-6872.715,1029.739,-122.169,45.010,1029.739
-6504.315,-6872.892,1077.677,-122.167,45.010,1077.677
-6477.178,-6873.067,1128.523,-122.165,45.010,1128.523
-6450.208,-6873.242,1167.352,-122.163,45.010,1167.352
-6423.071,-6873.417,1156.652,-122.161,45.010,1156.652
-6396.101,-6873.589,1120.727,-122.158,45.010,1120.727
-6368.963,-6873.763,1157.742,-122.156,45.010,1157.742
-6341.994,-6873.935,1224.094,-122.154,45.010,1224.094
-6314.856,-6874.106,1301.076,-122.152,45.010,1301.076
-6287.887,-6874.276,1336.246,-122.150,45.010,1336.246
-6260.749,-6874.446,1320.577,-122.147,45.010,1320.577
-6233.779,-6874.615,1286.726,-122.145,45.010,1286.726
-6206.810,-6874.783,1318.221,-122.143,45.010,1318.221
-6179.673,-6874.951,1408.388,-122.141,45.010,1408.388
-6152.704,-6875.117,1496.066,-122.139,45.010,1496.066
-6125.565,-6875.284,1504.063,-122.136,45.010,1504.063
-6098.596,-6875.449,1390.847,-122.134,45.010,1390.847
-6071.458,-6875.614,1303.643,-122.132,45.010,1303.643
-6044.489,-6875.778,1258.365,-122.130,45.010,1258.365
-6017.520,-6875.940,1235.219,-122.128,45.010,1235.219
-5990.382,-6876.103,1198.469,-122.125,45.010,1198.469
-5963.244,-6876.266,1154.113,-122.123,45.010,1154.113
-5936.275,-6876.426,1143.364,-122.121,45.010,1143.364
-5909.306,-6876.586,1163.176,-122.119,45.010,1163.176
-5882.167,-6876.746,1201.940,-122.117,45.010,1201.940
-5855.198,-6876.904,1244.344,-122.115,45.010,1244.344
-5828.061,-6877.063,1260.434,-122.112,45.010,1260.434
-5801.091,-6877.220,1246.697,-122.110,45.010,1246.697
-5773.954,-6877.376,1233.726,-122.108,45.010,1233.726
-5746.984,-6877.532,1216.718,-122.106,45.010,1216.718
-5720.015,-6877.687,1188.127,-122.104,45.010,1188.127
-5692.877,-6877.842,1143.783,-122.101,45.010,1143.783
-5665.908,-6877.995,1092.865,-122.099,45.010,1092.865
-5638.770,-6878.148,1041.995,-122.097,45.010,1041.995
-5611.801,-6878.300,981.594,-122.095,45.010,981.594
-5584.663,-6878.452,915.083,-122.093,45.010,915.083
-5557.693,-6878.603,869.144,-122.090,45.010,869.144
-5530.724,-6878.752,838.044,-122.088,45.010,838.044
-5503.586,-6878.902,817.911,-122.086,45.010,817.911
-5476.449,-6879.051,807.916,-122.084,45.010,807.916
-5449.479,-6879.198,811.506,-122.082,45.010,811.506
-5422.510,-6879.345,812.827,-122.079,45.010,812.827
-5395.372,-6879.492,801.496,-122.077,45.010,801.496
-5368.403,-6879.637,793.779,-122.075,45.010,793.779
-5341.265,-6879.782,765.083,-122.073,45.010,765.083
-5314.295,-6879.926,722.404,-122.071,45.010,722.404
-5287.158,-6880.070,689.713,-122.068,45.010,689.713
-5260.188,-6880.212,673.755,-122.066,45.010,673.755
-5233.220,-6880.354,657.362,-122.064,45.010,657.362
-5206.082,-6880.496,545.715,-122.062,45.010,545.715
-5179.112,-6880.635,491.320,-122.060,45.010,491.320
-5151.975,-6880.776,531.726,-122.058,45.010,531.726
-5125.005,-6880.915,548.601,-122.055,45.010,548.601
-5097.868,-6881.053,562.252,-122.053,45.010,562.252
-5070.898,-6881.190,583.262,-122.051,45.010,583.262
-5043.929,-6881.327,602.291,-122.049,45.010,602.291
-5016.791,-6881.463,614.995,-122.047,45.010,614.995
-4989.653,-6881.599,620.248,-122.044,45.010,620.248
-4962.684,-6881.733,622.708,-122.042,45.010,622.708
-4935.714,-6881.867,636.493,-122.040,45.010,636.493
-4908.577,-6882.000,658.683,-122.038,45.010,658.683
-4881.607,-6882.132,681.019,-122.036,45.010,681.019
-4854.470,-6882.265,698.177,-122.033,45.010,698.177
-4827.501,-6882.396,706.156,-122.031,45.010,706.156
-4800.362,-6882.526,714.636,-122.029,45.010,714.636
-4773.393,-6882.655,739.478,-122.027,45.010,739.478
-4746.424,-6882.784,785.855,-122.025,45.010,785.855
-4719.286,-6882.912,841.206,-122.022,45.010,841.206
-4692.317,-6883.039,852.251,-122.020,45.010,852.251
-4665.179,-6883.167,844.237,-122.018,45.010,844.237
-4638.041,-6883.292,817.973,-122.016,45.010,817.973
-4611.072,-6883.417,811.384,-122.014,45.010,811.384
-4584.103,-6883.541,820.655,-122.012,45.010,820.655
-4557.134,-6883.665,851.090,-122.009,45.010,851.090
-4529.996,-6883.788,840.467,-122.007,45.010,840.467
-4502.857,-6883.910,808.585,-122.005,45.010,808.585
-4475.888,-6884.031,787.514,-122.003,45.010,787.514
-4448.919,-6884.152,761.272,-122.001,45.010,761.272
-4421.781,-6884.272,688.707,-121.998,45.010,688.707
-4394.812,-6884.392,682.124,-121.996,45.010,682.124
-4367.674,-6884.510,752.823,-121.994,45.010,752.823
-4340.705,-6884.628,783.555,-121.992,45.010,783.555
-4313.567,-6884.745,775.452,-121.990,45.010,775.452
-4286.598,-6884.861,748.866,-121.987,45.010,748.866
-4259.628,-6884.977,742.592,-121.985,45.010,742.592
-4232.490,-6885.092,756.650,-121.983,45.010,756.650
-4205.521,-6885.206,780.219,-121.981,45.010,780.219
-4178.383,-6885.319,820.901,-121.979,45.010,820.901
-4151.246,-6885.433,885.331,-121.976,45.010,885.331
-4124.276,-6885.544,977.512,-121.974,45.010,977.512
-4097.307,-6885.655,1045.109,-121.972,45.010,1045.109
-4070.169,-6885.766,1050.184,-121.970,45.010,1050.184
-4043.200,-6885.875,1027.941,-121.968,45.010,1027.941
-4016.062,-6885.985,995.792,-121.965,45.010,995.792
-3989.093,-6886.093,968.123,-121.963,45.010,968.123
-3961.956,-6886.201,977.656,-121.961,45.010,977.656
-3934.986,-6886.307,993.745,-121.959,45.010,993.745
-3908.017,-6886.413,994.732,-121.957,45.010,994.732
-3880.879,-6886.519,992.630,-121.955,45.010,992.630
-3853.741,-6886.624,979.038,-121.952,45.010,979.038
-3826.772,-6886.727,957.755,-121.950,45.010,957.755
-3799.803,-6886.830,936.357,-121.948,45.010,936.357
-3772.833,-6886.933,922.738,-121.946,45.010,922.738
-3745.695,-6887.035,919.391,-121.944,45.010,919.391
-3718.558,-6887.136,911.032,-121.941,45.010,911.032
-3691.588,-6887.236,891.600,-121.939,45.010,891.600
-3664.450,-6887.335,866.842,-121.937,45.010,866.842
-3637.481,-6887.434,851.918,-121.935,45.010,851.918
-3610.512,-6887.532,838.585,-121.933,45.010,838.585
-3583.374,-6887.629,816.568,-121.930,45.010,816.568
-3556.405,-6887.726,783.122,-121.928,45.010,783.122
-3529.267,-6887.822,755.862,-121.926,45.010,755.862
-3502.298,-6887.917,731.112,-121.924,45.010,731.112
-3475.160,-6888.011,688.110,-121.922,45.010,688.110
-3448.191,-6888.105,665.061,-121.919,45.010,665.061
-3421.221,-6888.198,654.882,-121.917,45.010,654.882
-3394.083,-6888.290,641.207,-121.915,45.010,641.207
-3366.946,-6888.382,634.575,-121.913,45.010,634.575
-3339.976,-6888.473,632.549,-121.911,45.010,632.549
-3313.007,-6888.562,632.746,-121.908,45.010,632.746
-3285.869,-6888.652,633.754,-121.906,45.010,633.754
-3258.900,-6888.740,637.236,-121.904,45.010,637.236
-3231.762,-6888.828,641.614,-121.902,45.010,641.614
-3204.793,-6888.915,646.826,-121.900,45.010,646.826
-3177.655,-6889.001,652.867,-121.898,45.010,652.867
-3150.686,-6889.087,663.848,-121.895,45.010,663.848
-3123.717,-6889.171,679.875,-121.893,45.010,679.875
-3096.579,-6889.256,700.391,-121.891,45.010,700.391
-3069.609,-6889.339,726.888,-121.889,45.010,726.888
-3042.471,-6889.422,767.916,-121.887,45.010,767.916
-3015.502,-6889.504,825.755,-121.884,45.010,825.755
-2988.364,-6889.585,882.556,-121.882,45.010,882.556
-2961.395,-6889.666,928.789,-121.880,45.010,928.789
-2934.426,-6889.745,972.647,-121.878,45.010,972.647
-2907.288,-6889.824,1007.349,-121.876,45.010,1007.349
-2880.150,-6889.903,1002.682,-121.873,45.010,1002.682
-2853.181,-6889.980,962.110,-121.871,45.010,962.110
-2826.211,-6890.057,927.792,-121.869,45.010,927.792
-2799.074,-6890.133,946.244,-121.867,45.010,946.244
-2772.104,-6890.208,969.854,-121.865,45.010,969.854
-2744.967,-6890.283,993.888,-121.862,45.010,993.888
-2717.997,-6890.357,1011.167,-121.860,45.010,1011.167
-2690.860,-6890.431,1033.858,-121.858,45.010,1033.858
-2663.890,-6890.503,1065.434,-121.856,45.010,1065.434
-2636.921,-6890.574,1098.477,-121.854,45.010,1098.477
-2609.783,-6890.645,1133.990,-121.852,45.010,1133.990
-2582.814,-6890.715,1161.318,-121.849,45.010,1161.318
-2555.676,-6890.785,1178.708,-121.847,45.010,1178.708
-2528.707,-6890.854,1198.539,-121.845,45.010,1198.539
-2501.569,-6890.922,1240.561,-121.843,45.010,1240.561
-2474.600,-6890.989,1310.864,-121.841,45.010,1310.864
-2447.630,-6891.056,1380.494,-121.838,45.010,1380.494
-2420.492,-6891.122,1426.944,-121.836,45.010,1426.944
-2393.355,-6891.187,1434.702,-121.834,45.010,1434.702
-2366.385,-6891.251,1400.905,-121.832,45.010,1400.905
-2339.416,-6891.314,1371.076,-121.830,45.010,1371.076
-2312.278,-6891.378,1344.174,-121.827,45.010,1344.174
-2285.309,-6891.439,1315.817,-121.825,45.010,1315.817
-2258.171,-6891.501,1286.964,-121.823,45.010,1286.964
-2231.202,-6891.562,1269.285,-121.821,45.010,1269.285
-2204.064,-6891.622,1263.939,-121.819,45.010,1263.939
-2177.095,-6891.681,1273.197,-121.816,45.010,1273.197
-2150.125,-6891.740,1297.175,-121.814,45.010,1297.175
-2122.988,-6891.798,1329.521,-121.812,45.010,1329.521
-2096.018,-6891.854,1351.989,-121.810,45.010,1351.989
-2068.881,-6891.911,1361.906,-121.808,45.010,1361.906
-2041.911,-6891.967,1362.342,-121.805,45.010,1362.342
-2014.774,-6892.022,1353.729,-121.803,45.010,1353.729
-1987.804,-6892.076,1349.911,-121.801,45.010,1349.911
-1960.835,-6892.129,1349.581,-121.799,45.010,1349.581
-1933.697,-6892.182,1352.881,-121.797,45.010,1352.881
-1906.559,-6892.234,1356.161,-121.795,45.010,1356.161
-1879.590,-6892.285,1353.858,-121.792,45.010,1353.858
-1852.621,-6892.335,1350.619,-121.790,45.010,1350.619
-1825.483,-6892.385,1346.620,-121.788,45.010,1346.620
-1798.514,-6892.434,1339.436,-121.786,45.010,1339.436
-1771.376,-6892.483,1332.976,-121.784,45.010,1332.976
